id;testo
626;CARTA / POSTER
623;"<p>Grazie per la tua segnalazione.</p>"
624;"#nome#  ti ha suggerito i seguenti articoli"
625;"<p><span style=""font-family: arial, helvetica, sans-serif;"">Ciao,</span></p>
<p><span style=""font-family: arial, helvetica, sans-serif;""><strong>#nome#</strong> (#email#) ti consiglia di dare un'occhiata al seguente articolo:</span></p>
<p><strong><span style=""font-size: small;""><span style=""color: #ff0000;""><a href=""http://#SERVER_NAME#/scheda-prodotto.php?menid=#idcategoria#""><span style=""font-family: arial, helvetica, sans-serif;"">#id_categorie_str_magazzino#</span></a></span></span></strong></p>
<p><span style=""font-family: arial, helvetica, sans-serif;""><a href=""http://#SERVER_NAME#/scheda-prodotto.php?menid=#idcategoria#"">#immagine_file#</a></span></p>
<p style=""text-align: justify;""><strong><span style=""color: #ff0000;"">#nome#: </span></strong><strong><span style=""color: #ff0000;"">#commento#</span></strong></p>
<p><span style=""font-family: arial, helvetica, sans-serif;"">Buona Navigazione,<br />#ecomm_ragionesociale#</span></p>"
622;"Grazie per la tua adesione! Ti terremo aggiornato sulle nostre Super Offerte e Promozioni"
621;"Dati inviati da www.heroesprint.eu"
618;"<p>Grazie per averci contattato. <br />Sarà nostra cura risponderLe al più presto.</p>"
619;"Richiesta informazioni da #SERVER_NAME#"
620;"<p><span style=""font-family: arial, helvetica, sans-serif;"">Ti è arrivata una richiesta d'informazioni da: <strong><span style=""color: #ff0000;"">#email#</span></strong></span></p>
<p><span style=""color: #000000;""><span style=""font-family: arial, helvetica, sans-serif;"">Nome: <strong>#nome#</strong><br />Cognome: <strong>#cognome#</strong></span></span></p>
<p><span style=""color: #000000;""><span style=""font-family: arial, helvetica, sans-serif;""><strong>Messaggio:</strong><br />#messaggio#</span></span></p>"
614;"<p>La tua richiesta è stata inoltrata correttamente.<br />Riceverai a breve una e-mail con le credenziali d'accesso. </p>"
615;"<p>Attualmente non è possibile portare a termine la procedura a causa di problemi tecnici all'interno del sistema. Si prega di riprovare più tardi.</p>"
616;"Dati area riservata"
617;"<p><span style=""font-size: medium;""><span style=""font-family: arial,helvetica,sans-serif;"">Gentile #nome#,</span></span></p>
<p><span style=""font-size: medium;""><span style=""font-family: arial,helvetica,sans-serif;"">confermiamo la registrazione al sito #SERVER_NAME#.</span></span></p>
<p><span style=""font-size: medium;""><span style=""font-family: arial,helvetica,sans-serif;"">Per attivare il Suo account, sarà sufficiente <strong>incollare nel browser il seguente indirizzo:</strong></span></span></p>
<p><span style=""font-size: medium;""><span style=""font-family: arial,helvetica,sans-serif;""> </span></span></p>
<p><span style=""font-size: medium;""><span style=""font-family: arial,helvetica,sans-serif;"">#SERVER_ROOT#index.php?documents=1&user=#id#&pass=#pwd#</span></span></p>
<p><span style=""font-size: medium;""><span style=""font-family: arial,helvetica,sans-serif;"">Una volta entrato nell'area riservata, potrà scegliere la password che userà per i prossimi accessi in abbinamento al seguente User ID:</span></span></p>
<p><span style=""font-size: medium;""><span style=""font-family: arial,helvetica,sans-serif;""><strong>#login#</strong></span></span></p>
<p><span style=""font-size: medium;""><span style=""font-family: arial,helvetica,sans-serif;""><span style=""font-family: arial, helvetica, sans-serif;""><span style=""font-family: arial, helvetica, sans-serif;"">Cordiali saluti.</span></span></span></span><span style=""font-family: arial, helvetica, sans-serif;""><br /></span></p>
<hr />
<p><span style=""font-family: arial, helvetica, sans-serif;""><span style=""color: #888888;""><span style=""font-size: x-small;"">#ecomm_immagine_file#<br /><br />#ecomm_ragionesociale#   #ecomm_indirizzo#   #ecomm_cap# #ecomm_comune# (#ecomm_provincia#)   Tel. #ecomm_telefono#    Fax #ecomm_fax#</span></span></span></p>
<p> </p>
<p> </p>"
612;"utente appena registrato"
611;"Ordine N. "
608;/resourcesdyn/thm_1170x360_dd211d5a1b9817a0fd48aa9d65c87858.jpg
586;"Cod. Fiscale"
587;"Data di Nascita"
588;Fax
589;Cellulare
590;"Sito internet"
591;Iban
592;Isdisabled
593;Ultimoaccesso
594;Ultimopwdmod
595;Isreadonly
596;Activationcode
597;Activationdate
599;Password
600;"Data Creazione"
581;Username
582;Autorizzo
583;"Codice Cliente"
584;"Foto del profilo"
560;masthead-banner.png
558;"PVC / ADHESIVOS"
