id;testo
623;<p>Danke für Ihre Mitteilung.</p>
624;#nome#  hat Ihnen folgende Artikel empfohlen
625;"<p><span style=""font-family: arial, helvetica, sans-serif;"">Hallo,</span></p>
<p><span style=""font-family: arial, helvetica, sans-serif;""><strong>#nome#</strong> (#email#) empfiehlt Ihnen, folgende Artikel anzuschauen:</span></p>
<p><strong><span style=""font-size: small;""><span style=""color: #ff0000;""><a href=""http://#SERVER_NAME#/scheda-prodotto.php?menid=#idcategoria#""><span style=""font-family: arial, helvetica, sans-serif;"">#id_categorie_str_magazzino#</span></a></span></span></strong></p>
<p><span style=""font-family: arial, helvetica, sans-serif;""><a href=""http://#SERVER_NAME#/scheda-prodotto.php?menid=#idcategoria#"">#immagine_file#</a></span></p>
<p style=""text-align: justify;""><strong><span style=""color: #ff0000;"">#nome#: </span></strong><strong><span style=""color: #ff0000;"">#commento#</span></strong></p>
<p><span style=""font-family: arial, helvetica, sans-serif;"">Gute Navigation,<br />#ecomm_ragionesociale#</span></p>"
622;Danke für Ihren Beitritt! Wir werden Sie über unsere Superangebote und Neuheiten auf dem Laufenden halten
618;<p>Danke für Ihre Kontaktaufnahme. <br />Wir werden Ihnen sobald wie möglich antworten.</p>
614;<p>Ihre Anfrage wurde uns korrekt weitergeleitet.<br />Sie werden in Kürze eine E-Mail mit den Zugangsdaten erhalten. </p>
615;<p>Derzeit können wir den Vorgang aufgrund von technischen Problemen im System nicht beenden. Bitte versuchen Sie es später erneut.</p>
616;Daten des vorbehaltenen Bereichs
617;"<p><span style=""font-size: medium;""><span style=""font-family: arial,helvetica,sans-serif;"">Gentile #nome#,</span></span></p>
<p><span style=""font-size: medium;""><span style=""font-family: arial,helvetica,sans-serif;"">Wir bestätigen die Registrierung auf der Seite #SERVER_NAME#.</span></span></p>
<p><span style=""font-size: medium;""><span style=""font-family: arial,helvetica,sans-serif;"">Um Ihr Account freizuschalten, genügt es, <strong>die folgende Adresse in den Browser einzufügen:</strong></span></span></p>
<p><span style=""font-size: medium;""><span style=""font-family: arial,helvetica,sans-serif;""> </span></span></p>
<p><span style=""font-size: medium;""><span style=""font-family: arial,helvetica,sans-serif;"">#SERVER_ROOT#index.php?documents=1&user=#id#&pass=#pwd#</span></span></p>
<p><span style=""font-size: medium;""><span style=""font-family: arial,helvetica,sans-serif;"">Nach dem Zugriff auf den vorbehaltenen Bereich können Sie das Passwort wählen, das Sie für die nächsten Zugriffe zusammen mit der Benutzer-ID verwenden werden:</span></span></p>
<p><span style=""font-size: medium;""><span style=""font-family: arial,helvetica,sans-serif;""><strong>#login#</strong></span></span></p>
<p><span style=""font-size: medium;""><span style=""font-family: arial,helvetica,sans-serif;""><span style=""font-family: arial, helvetica, sans-serif;""><span style=""font-family: arial, helvetica, sans-serif;"">Mit freundlichen Grüßen.</span></span></span></span><span style=""font-family: arial, helvetica, sans-serif;""><br /></span></p>
<hr />
<p><span style=""font-family: arial, helvetica, sans-serif;""><span style=""color: #888888;""><span style=""font-size: x-small;"">#ecomm_immagine_file#<br /><br />#ecomm_ragionesociale#   #ecomm_indirizzo#   #ecomm_cap# #ecomm_comune# (#ecomm_provincia#)   Tel. #ecomm_telefono#    Fax #ecomm_fax#</span></span></span></p>
<p> </p>
<p> </p>"
611;Auftrag Nr. 
