id;testo
623;<p>Thank you for notifying us.</p>
624;#nome#  suggested the following items
625;"<p><span style=""font-family: arial, helvetica, sans-serif;"">Hello,</span></p>
<p><span style=""font-family: arial, helvetica, sans-serif;""><strong>#nome#</strong> (#email#) suggests you have a look at the following item:</span></p>
<p><strong><span style=""font-size: small;""><span style=""color: #ff0000;""><a href=""http://#SERVER_NAME#/scheda-prodotto.php?menid=#idcategoria#""><span style=""font-family: arial, helvetica, sans-serif;"">#id_categorie_str_magazzino#</span></a></span></span></strong></p>
<p><span style=""font-family: arial, helvetica, sans-serif;""><a href=""http://#SERVER_NAME#/scheda-prodotto.php?menid=#idcategoria#"">#immagine_file#</a></span></p>
<p style=""text-align: justify;""><strong><span style=""color: #ff0000;"">#nome#: </span></strong><strong><span style=""color: #ff0000;"">#commento#</span></strong></p>
<p><span style=""font-family: arial, helvetica, sans-serif;"">Happy Browsing,<br />#ecomm_ragionesociale#</span></p>"
622;Thank you for registering! We will keep you updated on our Special Offers and Promotions
618;<p>Thank you for contacting us. <br />We will get back to you as soon as possible.</p>
614;<p>Your message was delivered correctly.<br />You will soon receive an e-mail with your login credentials. </p>
615;<p>The procedure cannot be completed due to technical reasons. Please try again later.</p>
616;User area data
617;"<p><span style=""font-size: medium;""><span style=""font-family: arial,helvetica,sans-serif;"">Gentile #nome#,</span></span></p>
<p><span style=""font-size: medium;""><span style=""font-family: arial,helvetica,sans-serif;"">Your registration has been confirmed #SERVER_NAME#.</span></span></p>
<p><span style=""font-size: medium;""><span style=""font-family: arial,helvetica,sans-serif;"">To activate your account, paste<strong>the following link on your browser:</strong></span></span></p>
<p><span style=""font-size: medium;""><span style=""font-family: arial,helvetica,sans-serif;""> </span></span></p>
<p><span style=""font-size: medium;""><span style=""font-family: arial,helvetica,sans-serif;"">#SERVER_ROOT#index.php?documents=1&user=#id#&pass=#pwd#</span></span></p>
<p><span style=""font-size: medium;""><span style=""font-family: arial,helvetica,sans-serif;"">Once logged in, you can choose a new password to be used with the following User ID: </span></span></p>
<p><span style=""font-size: medium;""><span style=""font-family: arial,helvetica,sans-serif;""><strong>#login#</strong></span></span></p>
<p><span style=""font-size: medium;""><span style=""font-family: arial,helvetica,sans-serif;""><span style=""font-family: arial, helvetica, sans-serif;""><span style=""font-family: arial, helvetica, sans-serif;"">Kind Regards.</span></span></span></span><span style=""font-family: arial, helvetica, sans-serif;""><br /></span></p>
<hr />
<p><span style=""font-family: arial, helvetica, sans-serif;""><span style=""color: #888888;""><span style=""font-size: x-small;"">#ecomm_immagine_file#<br /><br />#ecomm_ragionesociale#   #ecomm_indirizzo#   #ecomm_cap# #ecomm_comune# (#ecomm_provincia#)   Phone no.#ecomm_telefono#  Fax no.#ecomm_fax#</span></span></span></p>
<p> </p>
<p> </p>"
611;Order no. 
