id;testo
623;<p>Merci pour votre signalisation.</p>
624;#nome#  il vous a suggéré les articles suivants
625;"<p><span style=""font-family: arial, helvetica, sans-serif;"">Bonjour,</span></p>
<p><span style=""font-family: arial, helvetica, sans-serif;""><strong>#nome#</strong> (#email#) je vous conseille de lire l'article suivant :</span></p>
<p><strong><span style=""font-size: small;""><span style=""color: #ff0000;""><a href=""http://#SERVER_NAME#/scheda-prodotto.php?menid=#idcategoria#""><span style=""font-family: arial, helvetica, sans-serif;"">#id_categorie_str_magazzino#</span></a></span></span></strong></p>
<p><span style=""font-family: arial, helvetica, sans-serif;""><a href=""http://#SERVER_NAME#/scheda-prodotto.php?menid=#idcategoria#"">#immagine_file#</a></span></p>
<p style=""text-align: justify;""><strong><span style=""color: #ff0000;"">#nome#: </span></strong><strong><span style=""color: #ff0000;"">#commento#</span></strong></p>
<p><span style=""font-family: arial, helvetica, sans-serif;"">Bonne navigation,<br />#ecomm_ragionesociale#</span></p>"
622;Nous vous remercions de votre adhésion ! Nous vous tiendrons au courant sur nos super offres et promotions
618;<p>Merci de nous avoir contacté. <br />Nous vous répondrons dès que possible.</p>
614;<p>Votre demande a été transmise avec succès.<br />Vous recevrez sous peu un courriel avec vos identifiants d'accès. </p>
615;<p>Actuellement, il est impossible de terminer la procédure à cause de problèmes techniques dans le système. Veuillez essayer plus tard.</p>
616;Zone de données réservée
617;"<p><span style=""font-size: medium;""><span style=""font-family: arial,helvetica,sans-serif;"">Gentile #nome#,</span></span></p>
<p><span style=""font-size: medium;""><span style=""font-family: arial,helvetica,sans-serif;"">nous confirmons l'enregistrement au site #SERVER_NAME#.</span></span></p>
<p><span style=""font-size: medium;""><span style=""font-family: arial,helvetica,sans-serif;"">Pour activer votre compte, il suffira de <strong>coller l'adresse suivante dans votre browser :</strong></span></span></p>
<p><span style=""font-size: medium;""><span style=""font-family: arial,helvetica,sans-serif;""> </span></span></p>
<p><span style=""font-size: medium;""><span style=""font-family: arial,helvetica,sans-serif;"">#SERVER_ROOT#index.php?documents=1&user=#id#&pass=#pwd#</span></span></p>
<p><span style=""font-size: medium;""><span style=""font-family: arial,helvetica,sans-serif;"">Une fois que vous êtes dans la zone réservée, vous pouvez saisir le mot de passe que vous utiliserez pour vos prochains accès en même temps que l'identifiant utilisateur suivant :</span></span></p>
<p><span style=""font-size: medium;""><span style=""font-family: arial,helvetica,sans-serif;""><strong>#login#</strong></span></span></p>
<p><span style=""font-size: medium;""><span style=""font-family: arial,helvetica,sans-serif;""><span style=""font-family: arial, helvetica, sans-serif;""><span style=""font-family: arial, helvetica, sans-serif;"">Cordialement.</span></span></span></span><span style=""font-family: arial, helvetica, sans-serif;""><br /></span></p>
<hr />
<p><span style=""font-family: arial, helvetica, sans-serif;""><span style=""color: #888888;""><span style=""font-size: x-small;"">#ecomm_immagine_file#<br /><br />#ecomm_ragionesociale#   #ecomm_indirizzo#   #ecomm_cap# #ecomm_comune# (#ecomm_provincia#)   Tél. #ecomm_telefono#    Fax #ecomm_fax#</span></span></span></p>
<p> </p>
<p> </p>"
611;Commande N° 
